timestamp,Bx,By,Bz,B norm
1756911242.2021797,199145.0,-72008.375,294674.53125,362873.27879377926
1756911242.2401798,199145.5,-72012.875,294673.6875,362873.7610255987
1756911242.2771797,199131.75,-72007.75,294668.53125,362861.0108941952
1756911242.3151796,199139.5,-72003.0,294664.96875,362861.42847881815
1756911242.3521798,199140.0,-72008.875,294672.890625,362869.3017438356
1756911242.3901796,199139.5,-72014.75,294667.453125,362865.7776767969
1756911242.4281795,199133.5,-72016.125,294675.625,362869.3939303868
1756911242.4651797,199132.5,-72006.75,294671.5625,362863.6856286447
1756911242.5031796,199147.75,-72003.0,294672.3125,362871.9196812564
1756911242.5401795,199141.0,-72014.125,294671.71875,362869.94076610246
1756911242.5781796,199130.75,-72018.875,294676.453125,362869.1030911263
1756911242.6161797,199141.0,-71994.0,294672.3125,362866.42951793934
1756911242.6531796,199136.0,-72010.75,294671.46875,362866.3240187008
1756911242.6911798,199140.75,-72012.375,294673.078125,362870.5601662464
1756911242.7281797,199133.25,-72001.5,294670.203125,362861.95152914734
1756911242.7661796,199135.25,-72010.875,294673.265625,362867.3964204141
1756911242.8041797,199145.5,-72002.875,294671.71875,362870.1779005747
1756911242.8411796,199132.5,-72019.5,294677.71875,362871.2152599102
1756911242.8791797,199136.25,-72011.125,294663.046875,362859.696551555
1756911242.9161797,199132.25,-72004.75,294670.484375,362862.2760420572
1756911242.9541798,199140.75,-72010.0,294670.15625,362867.7161101025
1756911242.9921796,199136.5,-72015.125,294677.234375,362872.1487244706
1756911243.0291796,199129.25,-72010.875,294672.015625,362863.0886661364
1756911243.0671797,199144.25,-71993.625,294668.703125,362865.20768747246
1756911243.1041796,199150.0,-72004.75,294676.9375,362877.2575085705
1756911243.1421795,199139.25,-72010.75,294674.734375,362870.75947932457
1756911243.1801796,199138.0,-72000.875,294673.796875,362867.3526365997
1756911243.2171798,199140.0,-72008.875,294672.625,362869.0860395196
1756911243.2551796,199129.5,-72013.5,294678.15625,362868.733460737
1756911243.2931798,199137.25,-72004.625,294669.59375,362864.2719251141
1756911243.3301797,199132.75,-72005.375,294671.9375,362863.854498429
1756911243.3681796,199139.25,-72003.5,294674.1875,362868.8767056189
1756911243.4051795,199145.0,-72002.375,294667.890625,362866.6956280606
1756911243.4431796,199134.5,-72002.375,294674.28125,362866.1228691578
1756911243.4811797,199137.25,-71988.5,294668.3125,362860.0320528704
1756911243.5181797,199140.0,-72004.5,294672.3125,362867.964105882
1756911243.5561798,199138.0,-72008.625,294676.609375,362871.1744285249
1756911243.5931797,199133.5,-72013.625,294673.953125,362867.5400999728
1756911243.6311796,199134.0,-72005.875,294673.234375,362865.6928500396
1756911243.6691797,199145.0,-71993.375,294676.765625,362872.1169614742
1756911243.7061796,199138.25,-72002.25,294675.109375,362868.8285087232
1756911243.7441795,199130.75,-72011.875,294680.96875,362871.38090515847
1756911243.7811797,199125.75,-72010.375,294673.890625,362862.5913989724
1756911243.8191798,199140.25,-72003.25,294673.15625,362868.53844741336
1756911243.8571796,199135.0,-72007.5,294678.09375,362870.5102614206
1756911243.8941796,199132.75,-72014.125,294673.46875,362866.834399667
1756911243.9321797,199142.75,-72004.375,294673.984375,362870.80616128497
1756911243.9691796,199143.25,-72002.25,294672.203125,362869.2124170446
1756911244.0071795,199138.0,-71998.375,294668.671875,362862.6947362005
1756911244.0451796,199122.0,-72013.125,294669.9375,362857.8690376158
1756911244.0821798,199142.75,-72001.625,294668.96875,362866.1874911902
1756911244.1201797,199136.0,-72004.25,294673.46875,362866.6582909206
1756911244.1571796,199140.25,-72006.25,294670.640625,362867.09089620254
1756911244.1951797,199132.25,-72007.875,294674.6875,362866.3094106434
1756911244.2331796,199139.0,-72008.75,294671.640625,362867.7130666101
1756911244.2701795,199144.75,-72010.375,294674.4375,362873.462347613
1756911244.3081796,199143.0,-72008.125,294669.796875,362868.2869931863
1756911244.3461795,199135.5,-72006.625,294668.71875,362862.9978571902
1756911244.3831797,199150.75,-71990.25,294667.3125,362866.9761449747
1756911244.4211798,199145.5,-72003.375,294680.4375,362877.3572804344
1756911244.4581797,199136.75,-72005.625,294671.203125,362865.5028841101
1756911244.4961796,199127.5,-71999.875,294671.421875,362859.46332719486
1756911244.5341797,199141.5,-72007.75,294674.921875,362871.5511918093
1756911244.5711796,199141.0,-72015.875,294677.859375,362875.2746314468
1756911244.6091795,199127.75,-72005.875,294670.3125,362859.8902102928
1756911244.6461797,199128.75,-72005.125,294672.40625,362861.99044263805
1756911244.6841798,199142.0,-72000.375,294678.015625,362872.8745123124
1756911244.7221797,199141.75,-72004.75,294670.328125,362867.3626725338
1756911244.7591796,199140.0,-72003.0,294677.046875,362871.511094452
1756911244.7971797,199133.0,-72004.75,294669.515625,362861.9009351004
1756911244.8351796,199142.75,-72009.875,294672.59375,362870.7682942106
1756911244.8721795,199138.0,-72010.125,294682.84375,362876.5348532508
1756911244.9101796,199141.5,-72002.625,294672.53125,362868.5928851143
1756911244.9471796,199143.0,-72000.5,294673.5625,362869.8318759654
1756911244.9851797,199140.0,-72010.625,294677.5,362873.3921344201
1756911245.0231798,199146.25,-72000.625,294665.203125,362864.8520071221
1756911245.0601797,199136.25,-71999.625,294670.3125,362863.3146696574
1756911245.0981796,199128.25,-72015.625,294671.15625,362862.7846967984
1756911245.1351798,199142.5,-72002.75,294669.265625,362866.5145997758
1756911245.1731796,199144.0,-72000.125,294675.734375,362872.0699715827
1756911245.2111795,199144.25,-72002.125,294667.609375,362866.00602337456
1756911245.2481797,199130.0,-72010.75,294670.125,362861.9401136996
1756911245.2861798,199131.25,-72010.625,294671.234375,362863.5021706362
1756911245.3231795,199139.5,-72011.375,294672.53125,362869.23162886495
1756911245.3611796,199144.25,-71995.375,294672.21875,362868.4098023704
1756911245.3991797,199134.5,-72010.25,294672.046875,362865.87109401
1756911245.4361796,199138.5,-72020.75,294669.40625,362868.0057438793
1756911245.4741795,199136.75,-72002.125,294673.5625,362866.7243514064
1756911245.5111797,199137.0,-71994.625,294668.71875,362861.4399569858
1756911245.5491796,199140.0,-72003.625,294671.453125,362867.092610972
1756911245.5871797,199142.75,-71999.5,294671.140625,362867.52954081056
1756911245.6241796,199137.25,-72003.625,294673.359375,362867.1314352555
1756911245.6621797,199127.25,-72010.0,294668.34375,362858.8356385037
1756911245.6991796,199143.0,-71994.0,294667.875,362863.9235884654
1756911245.7371798,199144.25,-72000.75,294676.671875,362873.0924937139
1756911245.7751796,199137.5,-72014.75,294676.125,362871.72219508665
1756911245.8121796,199127.0,-72014.125,294669.34375,362860.3291551328
1756911245.8501797,199142.75,-71995.625,294669.78125,362865.6567913612
1756911245.8881798,199143.0,-72008.875,294672.703125,362870.7958692185
