timestamp,Bx,By,Bz,B norm
1756651529.3572657,198044.0,-77367.125,293237.921875,362209.2997043757
1756651529.3942657,198050.0,-77374.75,293239.5625,362215.5372878887
1756651529.4322658,198044.0,-77378.875,293242.328125,362215.3768635945
1756651529.4702656,198038.0,-77377.0,293244.234375,362213.2390832504
1756651529.5072658,198035.5,-77383.0,293242.96875,362212.1293807863
1756651529.5452657,198050.75,-77374.25,293238.15625,362214.7021029439
1756651529.5822656,198038.5,-77384.375,293241.765625,362213.0893317607
1756651529.6202655,198033.5,-77378.375,293236.953125,362205.17765200994
1756651529.6582656,198042.75,-77376.25,293236.84375,362209.692614771
1756651529.6952658,198041.75,-77374.875,293239.609375,362211.09112053807
1756651529.7332656,198041.25,-77374.375,293239.28125,362210.4452886743
1756651529.7702658,198028.5,-77379.375,293238.640625,362204.0237811261
1756651529.8082657,198038.25,-77379.0,293246.34375,362215.51074851234
1756651529.8462658,198047.0,-77374.125,293244.5,362217.76075831184
1756651529.8832655,198043.5,-77370.625,293236.25,362208.4204145496
1756651529.9212656,198030.5,-77381.25,293239.6875,362206.36535945936
1756651529.9582658,198045.75,-77379.625,293244.46875,362218.2269166929
1756651529.9962656,198050.0,-77376.625,293245.5625,362220.7952648937
1756651530.0342658,198032.0,-77378.0,293235.25,362202.8985949208
1756651530.0712657,198034.0,-77379.25,293241.0,362208.9142574524
1756651530.1092658,198038.5,-77381.0,293239.1875,362210.2810922271
1756651530.1462655,198037.25,-77376.125,293236.71875,362206.5575480995
1756651530.1842656,198039.25,-77377.5,293241.515625,362211.8282619435
1756651530.2222655,198043.25,-77373.375,293240.78125,362212.53956422256
1756651530.2592657,198034.5,-77381.875,293243.84375,362212.0506913596
1756651530.2972658,198051.0,-77368.875,293245.25,362219.4335859523
1756651530.3352656,198032.25,-77377.25,293240.578125,362207.188659625
1756651530.3722658,198027.25,-77379.25,293240.765625,362205.03405869607
1756651530.4102657,198048.5,-77383.875,293242.734375,362219.23434018856
1756651530.4472656,198040.25,-77382.75,293246.78125,362217.7595468096
1756651530.4852655,198040.75,-77381.25,293246.890625,362217.8010166752
1756651530.5232656,198040.25,-77373.875,293240.859375,362211.06934985664
1756651530.5602658,198039.5,-77391.125,293243.09375,362216.1534513431
1756651530.5982656,198050.25,-77378.5,293240.671875,362217.3731739188
1756651530.6352658,198036.25,-77369.5,293239.734375,362207.0370114764
1756651530.6732657,198038.5,-77380.5,293239.890625,362210.74351302994
1756651530.7112658,198043.75,-77372.625,293239.734375,362211.8052048741
1756651530.7482655,198037.75,-77379.0,293238.640625,362209.0010224213
1756651530.7862656,198026.5,-77382.625,293239.25,362204.1179979917
1756651530.8232658,198045.25,-77378.375,293240.9375,362214.8276797653
1756651530.8612657,198047.0,-77375.25,293242.65625,362216.508411914
1756651530.8992658,198032.5,-77381.5,293241.875,362209.2832217524
1756651530.9362657,198031.25,-77382.5,293239.53125,362206.9159617638
1756651530.9742658,198030.5,-77383.625,293243.125,362209.6557356751
1756651531.0112658,198042.5,-77390.25,293242.9375,362217.4802448681
1756651531.0492656,198040.5,-77372.125,293238.0,362208.5173091125
1756651531.0872655,198034.5,-77379.75,293237.84375,362206.73918007367
1756651531.1242657,198035.0,-77382.625,293240.046875,362209.4103804357
1756651531.1622658,198040.25,-77383.75,293241.328125,362213.5584218776
1756651531.1992657,198049.25,-77374.25,293237.015625,362212.9585220296
1756651531.2372658,198029.75,-77381.375,293234.0,362201.3774655656
1756651531.2752657,198037.5,-77375.75,293240.625,362209.7765725038
1756651531.3122656,198038.75,-77389.875,293243.09375,362215.4763205866
1756651531.3502655,198040.5,-77377.875,293238.09375,362209.821520482
1756651531.3882656,198038.25,-77372.0,293237.421875,362206.7923644713
1756651531.4252658,198043.25,-77384.375,293238.3125,362212.8908287925
1756651531.4632657,198048.75,-77379.5,293240.421875,362216.56425160967
1756651531.5002656,198038.0,-77388.375,293241.265625,362213.2657627167
1756651531.5382657,198036.75,-77387.25,293241.5625,362212.5823195081
1756651531.5762658,198035.5,-77377.25,293237.46875,362206.4482539201
1756651531.6132658,198044.25,-77384.25,293237.84375,362213.0313962688
1756651531.6512656,198033.25,-77380.125,293240.828125,362208.5519835415
1756651531.6882658,198039.75,-77373.875,293229.46875,362201.5743422237
1756651531.7262657,198052.75,-77378.5,293244.515625,362221.8518932194
1756651531.7642658,198050.0,-77375.875,293241.609375,362217.43470028567
1756651531.8012657,198040.25,-77376.0,293232.296875,362204.59125561983
1756651531.8392658,198039.0,-77380.75,293239.65625,362210.8805505167
1756651531.8762658,198038.5,-77386.0,293239.609375,362211.690844805
1756651531.9142656,198048.0,-77386.625,293246.15625,362222.31873297103
1756651531.9522655,198034.5,-77386.0,293245.921875,362214.6143967256
1756651531.9892657,198046.5,-77371.25,293237.53125,362211.2314967707
1756651532.0272658,198044.25,-77393.0,293238.5,362215.4321523484
1756651532.0642655,198034.5,-77386.75,293239.671875,362209.7147056801
1756651532.1022656,198032.25,-77382.5,293233.140625,362202.288931356
1756651532.1402657,198041.25,-77382.0,293235.921875,362209.3545222757
1756651532.1772656,198044.25,-77379.0,293241.09375,362214.5409322475
