timestamp,Bx,By,Bz,B norm
1756254568.3071785,201961.0,-67187.75,294801.734375,363607.6207418796
1756254568.3451784,201937.25,-67201.5,294797.078125,363593.1954958039
1756254568.3831785,201947.25,-67180.625,294799.984375,363597.24826441327
1756254568.4201784,201954.0,-67201.125,294811.859375,363614.4135556378
1756254568.4581783,201953.75,-67196.75,294799.328125,363603.3061078741
1756254568.4951785,201938.75,-67198.75,294803.703125,363598.89181533287
1756254568.5331786,201949.75,-67183.625,294802.75,363601.4334415716
1756254568.5711784,201958.25,-67192.75,294813.21875,363616.3284911176
1756254568.6081784,201949.25,-67200.125,294798.609375,363600.84772317566
1756254568.6461785,201944.5,-67187.25,294803.765625,363600.0108216341
1756254568.6831784,201952.5,-67181.375,294803.21875,363602.92516494
1756254568.7211783,201959.25,-67190.125,294805.390625,363610.0519782655
1756254568.7591784,201953.0,-67191.25,294797.84375,363600.66964351415
1756254568.7961783,201944.75,-67187.875,294796.703125,363594.5389756941
1756254568.8341784,201952.0,-67189.25,294801.21875,363602.481009203
1756254568.8711784,201961.75,-67194.125,294813.78125,363618.9826074829
1756254568.9091785,201952.25,-67189.5,294802.921875,363604.0469196539
1756254568.9471784,201942.0,-67187.875,294801.015625,363596.5081302997
1756254568.9841783,201944.75,-67198.0,294810.65625,363607.7230960836
1756254569.0221784,201955.5,-67203.375,294803.546875,363608.9229401844
1756254569.0601785,201949.75,-67190.5,294797.171875,363598.1811846847
1756254569.0971785,201940.5,-67190.875,294799.5625,363595.0512227952
1756254569.1351786,201954.5,-67192.75,294805.953125,363608.3548555399
1756254569.1721785,201967.5,-67181.875,294809.984375,363616.834417706
1756254569.2101784,201946.25,-67196.25,294807.015625,363605.2809914124
1756254569.2481785,201936.0,-67198.125,294808.765625,363601.3536675184
1756254569.2851784,201960.25,-67186.75,294807.515625,363611.70666606654
1756254569.3231783,201962.25,-67194.25,294810.890625,363616.93977210514
1756254569.3601785,201950.25,-67191.25,294804.484375,363604.5263184091
1756254569.3981783,201952.0,-67179.0,294802.171875,363601.3598533661
1756254569.4361784,201950.0,-67198.125,294811.734375,363611.5361601048
1756254569.4731784,201955.0,-67203.625,294814.375,363617.4706264556
1756254569.5111785,201942.0,-67188.75,294807.53125,363601.9526519106
1756254569.5481784,201943.0,-67185.25,294798.828125,363594.80487272615
1756254569.5861783,201969.25,-67192.5,294811.640625,363621.1124918583
1756254569.6241784,201948.0,-67215.875,294813.25,363614.9349677184
1756254569.6611784,201935.25,-67203.375,294807.5625,363600.931944824
1756254569.6991785,201938.75,-67198.75,294813.078125,363606.493047996
1756254569.7361784,201963.25,-67190.125,294813.046875,363618.48118020495
1756254569.7741785,201951.75,-67215.375,294810.375,363614.5942781914
1756254569.8121784,201952.5,-67182.5,294805.3125,363604.8306069691
1756254569.8491786,201950.75,-67184.875,294811.140625,363609.02284038777
1756254569.8871784,201967.5,-67188.125,294811.171875,363618.9520082478
1756254569.9241784,201960.75,-67202.125,294812.5,363618.86681156704
1756254569.9621785,201940.75,-67195.75,294803.53125,363599.3088086042
1756254570.0001783,201949.5,-67187.875,294807.671875,363606.0704851107
1756254570.0371785,201961.25,-67190.375,294814.390625,363618.5060111672
1756254570.0751784,201955.0,-67196.75,294810.375,363612.9569242592
1756254570.1131785,201935.25,-67199.875,294802.546875,363596.2184024535
1756254570.1501784,201951.25,-67187.125,294813.671875,363611.76860320166
1756254570.1881783,201967.75,-67177.625,294818.34375,363622.9656556311
1756254570.2251785,201950.25,-67193.5,294804.234375,363604.7394118268
1756254570.2631783,201944.75,-67193.25,294807.09375,363603.95683139405
1756254570.3011785,201945.5,-67197.375,294813.953125,363610.6972220844
1756254570.3381784,201959.5,-67202.375,294809.078125,363615.4443788148
1756254570.3761785,201953.0,-67193.25,294810.46875,363611.2753190655
1756254570.4131784,201936.25,-67201.625,294809.5,363602.7348040071
1756254570.4511786,201952.75,-67190.875,294812.546875,363612.3825047109
1756254570.4891784,201971.75,-67181.5,294809.578125,363618.7963988564
1756254570.5261784,201947.75,-67189.75,294807.921875,363605.6476945609
1756254570.5641785,201940.75,-67186.375,294807.796875,363601.034919449
1756254570.6011784,201954.75,-67197.0,294810.796875,363613.2063204457
1756254570.6391785,201959.5,-67185.875,294807.921875,363611.457795298
1756254570.6771784,201944.25,-67193.75,294805.625,363602.5806822136
1756254570.7141786,201938.75,-67192.125,294808.640625,363601.67078925605
1756254570.7521784,201945.25,-67197.875,294809.8125,363607.293585213
1756254570.7891784,201962.0,-67188.25,294812.125,363616.6930011301
1756254570.8271785,201941.0,-67199.875,294805.828125,363602.0722953634
1756254570.8651783,201942.0,-67193.625,294805.734375,363601.3966213877
1756254570.9021783,201957.75,-67194.25,294813.125,363616.2519613096
1756254570.9401784,201952.5,-67204.625,294816.265625,363617.7998320643
1756254570.9771783,201944.0,-67194.75,294812.90625,363608.5302287802
1756254571.0151784,201949.75,-67189.625,294804.4375,363603.9103233002
1756254571.0531783,201965.25,-67193.75,294815.640625,363622.36482888967
1756254571.0901785,201966.25,-67191.75,294811.078125,363618.8515359866
1756254571.1281784,201944.0,-67196.375,294801.671875,363599.7217950473
1756254571.1661785,201937.75,-67195.375,294806.25,363599.7776890349
1756254571.2031784,201964.25,-67184.25,294806.109375,363612.32631877245
1756254571.2411785,201952.5,-67200.25,294808.203125,363610.4543135466
1756254571.2781785,201946.75,-67190.5,294804.53125,363602.48180031
1756254571.3161786,201940.5,-67199.5,294815.765625,363609.7825988114
1756254571.3541784,201968.0,-67183.125,294811.6875,363618.7239339626
1756254571.3911784,201955.25,-67193.0,294815.0625,363616.2033359369
1756254571.4291785,201937.5,-67191.5,294799.53125,363593.475194096
1756254571.4661784,201942.0,-67194.0,294808.578125,363603.77161971823
1756254571.5041783,201957.25,-67189.0,294814.265625,363615.9289202971
1756254571.5421784,201963.25,-67176.625,294807.546875,363611.52758322784
1756254571.5791783,201944.0,-67187.375,294805.484375,363601.1497684915
1756254571.6171784,201945.5,-67197.125,294814.578125,363611.15776820894
1756254571.6541784,201953.5,-67199.5,294811.015625,363613.15143479616
1756254571.6921785,201949.75,-67196.375,294811.296875,363610.71918099787
1756254571.7301784,201943.0,-67187.75,294810.125,363604.4262678579
1756254571.7671783,201951.25,-67198.75,294813.25,363613.57476541976
1756254571.8051784,201960.25,-67187.625,294809.703125,363613.64191935066
1756254571.8421783,201958.0,-67188.375,294809.453125,363612.32810646313
1756254571.8801785,201939.75,-67198.25,294808.375,363603.14273018274
1756254571.9181786,201950.25,-67190.75,294809.96875,363608.8805777452
1756254571.9551785,201961.5,-67205.0,294813.890625,363620.9422086405
1756254571.9931784,201951.25,-67195.375,294809.8125,363610.1639726787
1756254572.0301783,201938.75,-67189.375,294799.0625,363593.3966882952
1756254572.0681784,201958.25,-67189.75,294809.859375,363613.05041600514
1756254572.1061783,201957.5,-67195.0,294818.53125,363620.6350025494
1756254572.1431785,201953.0,-67188.625,294804.75,363605.7840037107
1756254572.1811783,201940.0,-67191.25,294803.078125,363597.6932662491
1756254572.2191784,201953.75,-67200.5,294813.1875,363615.2360163455
1756254572.2561784,201957.5,-67195.25,294802.859375,363607.9747812038
1756254572.2941785,201947.25,-67200.5,294806.21875,363605.9757436412
1756254572.3311784,201948.5,-67183.125,294809.1875,363605.8662500177
1756254572.3691783,201945.5,-67193.625,294805.203125,363602.9097799729
1756254572.4071784,201955.5,-67198.375,294805.0,363609.17701275175
1756254572.4441783,201936.5,-67197.875,294811.0,363603.3967907418
1756254572.4821784,201950.5,-67195.125,294810.59375,363610.3346458172
1756254572.5191784,201954.5,-67195.625,294810.609375,363612.6613437017
1756254572.5571785,201955.0,-67200.0,294806.6875,363610.5678053412
1756254572.5951784,201944.75,-67195.75,294802.0625,363600.3395555055
1756254572.6321783,201941.5,-67188.75,294806.4375,363600.7881458096
1756254572.6701784,201958.25,-67191.75,294809.609375,363613.2172940982
1756254572.7071784,201962.0,-67193.875,294814.84375,363619.9367153189
1756254572.7451785,201936.0,-67203.875,294809.0,363602.6064153221
1756254572.7831786,201941.5,-67184.25,294806.3125,363599.85528071946
1756254572.8201785,201959.5,-67187.625,294816.953125,363619.1035180895
1756254572.8581784,201956.75,-67200.5,294810.8125,363614.97664112056
1756254572.8951786,201936.75,-67199.125,294805.734375,363599.4972792333
1756254572.9331784,201951.25,-67188.75,294806.90625,363606.5833779984
1756254572.9711783,201956.25,-67194.375,294812.265625,363614.7451749567
1756254573.0081785,201956.25,-67200.0,294813.59375,363616.86150927126
1756254573.0461783,201945.5,-67187.75,294803.828125,363600.7092917546
1756254573.0831783,201946.5,-67188.25,294807.390625,363604.2455299908
1756254573.1211784,201953.5,-67195.75,294814.1875,363615.03012334026
1756254573.1591785,201954.25,-67202.625,294816.09375,363618.2627893735
1756254573.1961784,201940.5,-67184.25,294808.8125,363601.3268897305
1756254573.2341783,201948.5,-67188.75,294817.1875,363613.3919759044
1756254573.2721784,201955.25,-67203.375,294814.71875,363617.8419791784
1756254573.3091784,201952.25,-67192.75,294816.53125,363615.6817725375
1756254573.3471785,201930.75,-67197.125,294812.109375,363600.9642973532
1756254573.3841784,201949.0,-67196.0,294817.984375,363615.65550445946
1756254573.4221785,201962.75,-67196.375,294807.734375,363615.05118466105
1756254573.4601784,201936.0,-67206.5,294816.03125,363608.7925508004
1756254573.4971786,201941.5,-67189.375,294808.328125,363602.4365526149
1756254573.5351784,201948.75,-67202.0,294819.578125,363617.9177053373
1756254573.5721784,201961.25,-67196.375,294809.84375,363615.9282630542
1756254573.6101785,201947.5,-67205.625,294807.46875,363608.07529354026
1756254573.6481783,201940.75,-67185.625,294807.703125,363600.8203222887
1756254573.6851785,201957.25,-67197.875,294813.8125,363617.2015634894
1756254573.7231784,201970.5,-67185.375,294811.890625,363620.6929453102
1756254573.7601786,201939.75,-67195.125,294809.171875,363603.2113106971
1756254573.7981784,201951.75,-67189.375,294805.71875,363606.0137685531
1756254573.8361783,201958.75,-67186.125,294812.859375,363615.09064798406
1756254573.8731785,201955.0,-67203.75,294812.328125,363615.8341622999
1756254573.9111784,201939.25,-67190.125,294803.203125,363597.1701771593
1756254573.9481783,201937.75,-67199.125,294808.875,363602.5990756856
1756254573.9861784,201965.25,-67193.5,294814.84375,363621.6725459986
1756254574.0241785,201965.25,-67185.75,294811.640625,363617.6434919367
1756254574.0611784,201945.75,-67192.25,294807.015625,363604.26409056864
1756254574.0991786,201947.25,-67183.375,294810.203125,363606.0416516162
1756254574.1371784,201951.25,-67197.25,294810.5625,363611.1185672014
1756254574.1741784,201959.25,-67193.75,294806.6875,363611.7733164696
1756254574.2121785,201936.75,-67201.875,294813.34375,363606.1752186475
1756254574.2491784,201948.75,-67184.125,294804.671875,363602.5286461915
1756254574.2871785,201967.25,-67189.5,294809.125,363617.40767746273
1756254574.3251784,201957.0,-67187.5,294811.734375,363613.4606012896
1756254574.3621786,201937.25,-67192.625,294805.078125,363598.0416342207
1756254574.4001784,201947.25,-67189.5,294812.09375,363608.70632325526
1756254574.4371784,201957.25,-67203.5,294816.671875,363620.5594507328
1756254574.4751785,201946.25,-67198.5,294801.078125,363600.8827752964
1756254574.5131783,201946.75,-67192.375,294807.484375,363605.2226484364
