timestamp,Bx,By,Bz,B norm
1756731254.8191538,200344.5,-76043.75,293092.921875,363075.792979286
1756731254.857154,200350.5,-76034.75,293085.703125,363071.39164920186
1756731254.8941538,200345.5,-76034.75,293078.65625,363062.9440291561
1756731254.932154,200351.0,-76034.875,293089.28125,363074.58214657113
1756731254.9701538,200343.0,-76042.0,293090.640625,363072.757219504
1756731255.0071535,200347.0,-76032.375,293086.578125,363069.6692566901
1756731255.045154,200341.5,-76046.25,293086.078125,363069.13660073903
1756731255.0821538,200355.25,-76023.125,293082.15625,363068.7153273848
1756731255.120154,200348.75,-76039.0,293087.9375,363073.11970946897
1756731255.1581538,200343.0,-76043.75,293087.671875,363070.7272256608
1756731255.1951537,200338.75,-76032.0,293083.75,363062.7553049541
1756731255.2331538,200352.25,-76031.25,293088.265625,363073.69293808046
1756731255.2701538,200348.25,-76039.375,293086.640625,363071.8754479629
1756731255.308154,200348.25,-76036.0,293085.9375,363070.60103279696
1756731255.3461535,200345.0,-76035.0,293087.96875,363070.2379375112
1756731255.383154,200349.25,-76036.625,293083.265625,363069.1268978504
1756731255.4211538,200350.5,-76040.875,293086.1875,363073.065407365
1756731255.459154,200350.5,-76025.25,293083.96875,363068.0022062857
1756731255.4961538,200343.5,-76030.375,293077.59375,363060.0664809897
1756731255.534154,200347.0,-76039.875,293086.40625,363071.1012013428
1756731255.571154,200351.0,-76035.625,293083.46875,363070.0471323307
1756731255.6091535,200337.5,-76036.0,293083.546875,363062.7392766715
1756731255.647154,200338.0,-76046.25,293091.71875,363071.75872393546
1756731255.6841538,200348.0,-76034.25,293091.75,363074.788707678
1756731255.722154,200349.75,-76039.375,293089.5,363075.0113760284
1756731255.7591538,200342.5,-76037.5,293085.234375,363067.17466764833
1756731255.7971537,200355.0,-76028.125,293089.140625,363075.26240204886
1756731255.8351538,200342.0,-76039.125,293092.96875,363073.4826800962
1756731255.8721538,200346.75,-76049.625,293092.28125,363077.7479088084
1756731255.910154,200343.75,-76036.875,293085.65625,363068.0740898617
1756731255.9471538,200342.5,-76035.625,293087.03125,363068.2325160508
1756731255.985154,200351.75,-76040.125,293088.515625,363075.4774552311
1756731256.0231538,200340.0,-76045.5,293090.890625,363072.0367056732
1756731256.0601535,200343.25,-76034.75,293086.359375,363067.920752876
1756731256.0981538,200351.5,-76025.375,293088.734375,363072.4272286178
1756731256.1351538,200354.5,-76028.25,293090.03125,363075.7316131698
1756731256.173154,200345.75,-76035.875,293082.53125,363066.4456459525
1756731256.2111535,200342.5,-76035.25,293088.984375,363069.7306452047
1756731256.248154,200341.0,-76040.0,293089.03125,363069.9355772431
1756731256.2861538,200348.25,-76045.5,293085.4375,363072.187068741
1756731256.3231535,200347.0,-76034.5,293090.53125,363073.3054186953
1756731256.3611538,200336.75,-76034.125,293086.15625,363064.0391865842
1756731256.3991537,200353.25,-76027.125,293090.40625,363075.1089748761
1756731256.436154,200353.75,-76035.375,293088.625,363075.67461184144
1756731256.4741538,200340.5,-76037.5,293084.609375,363065.5665289623
1756731256.512154,200345.5,-76035.0,293090.09375,363072.2292459639
1756731256.5491538,200344.5,-76040.75,293087.9375,363071.1410299866
1756731256.587154,200353.0,-76031.125,293084.15625,363070.7633816582
1756731256.624154,200346.25,-76036.75,293088.171875,363071.45816306537
1756731256.6621535,200341.75,-76043.625,293085.359375,363068.1445351217
