timestamp,Bx,By,Bz,B norm
1756567129.2714803,198867.75,-72800.75,294867.765625,363036.26595053135
1756567129.3084805,198880.5,-72805.5,294876.890625,363051.6144230297
1756567129.3464804,198867.75,-72823.75,294876.3125,363047.8208552183
1756567129.3844805,198861.5,-72822.0,294875.015625,363042.9929169464
1756567129.4214804,198873.0,-72806.625,294869.53125,363041.7541171888
1756567129.4594803,198872.25,-72819.0,294877.578125,363050.3610546724
1756567129.4964805,198875.75,-72819.375,294869.21875,363045.5639168291
1756567129.5344803,198864.25,-72830.125,294873.921875,363045.2407586715
1756567129.5724804,198875.0,-72809.375,294872.234375,363045.59674811584
1756567129.6094804,198873.5,-72815.5,294873.09375,363046.70148645656
1756567129.6474805,198869.0,-72821.625,294875.890625,363047.7366690606
1756567129.6844804,198860.25,-72818.875,294876.015625,363042.49362464907
1756567129.7224803,198867.5,-72810.75,294867.390625,363037.829882519
1756567129.7604804,198863.5,-72822.5,294879.328125,363047.6914868781
1756567129.7974803,198872.0,-72817.75,294873.5,363046.6610524224
1756567129.8354805,198869.75,-72815.75,294872.328125,363044.075570698
1756567129.8724804,198862.75,-72812.0,294868.796875,363036.6208140337
1756567129.9104805,198879.0,-72805.75,294873.484375,363048.07623993256
1756567129.9484804,198876.75,-72819.75,294872.140625,363048.5601092432
1756567129.9854803,198868.25,-72811.125,294869.65625,363040.1561243897
1756567130.0234804,198869.5,-72805.125,294872.203125,363041.7061885685
1756567130.0604804,198873.5,-72805.75,294865.53125,363038.6036699916
1756567130.0984805,198872.25,-72819.625,294868.046875,363042.7449668707
1756567130.1364803,198861.25,-72826.25,294870.0,363039.63466903305
1756567130.1734805,198867.25,-72813.75,294866.515625,363037.5839337484
1756567130.2114804,198867.0,-72820.5,294873.90625,363044.8037038731
1756567130.2494805,198877.25,-72821.75,294874.21875,363050.9230453048
1756567130.2864804,198869.5,-72821.75,294873.75,363046.2969682724
1756567130.3244803,198862.75,-72820.625,294875.125,363043.490654658
1756567130.3614805,198882.25,-72820.625,294872.390625,363051.951576294
1756567130.3994803,198879.0,-72818.625,294866.3125,363044.83336805424
1756567130.4374804,198866.5,-72821.875,294864.8125,363037.4194920212
1756567130.4744804,198862.75,-72837.375,294863.328125,363037.26917136833
1756567130.5124805,198878.0,-72811.75,294873.140625,363048.45252956735
1756567130.5494804,198868.75,-72813.0,294868.125,363039.5623572975
1756567130.5874803,198866.25,-72823.375,294861.296875,363034.7279948022
1756567130.6254804,198874.5,-72827.25,294870.96875,363047.88018163113
1756567130.6624804,198879.75,-72817.0,294871.796875,363049.3727323513
1756567130.7004805,198868.25,-72827.0,294867.40625,363041.5128544738
1756567130.7374804,198876.5,-72820.625,294863.34375,363041.45378327154
