timestamp,Bx,By,Bz,B norm
1757344341.2251306,200645.0,-70450.375,294472.109375,363229.25895693287
1757344341.263131,200645.75,-70443.875,294469.84375,363226.575839692
1757344341.3001306,200643.0,-70441.5,294465.84375,363221.35331867455
1757344341.3381305,200650.25,-70442.25,294472.765625,363231.1152764328
1757344341.375131,200645.0,-70440.625,294471.640625,363226.9879947934
1757344341.4131303,200649.25,-70438.0,294467.875,363225.7738329951
1757344341.4511306,200646.0,-70441.25,294473.765625,363229.38435502426
1757344341.4881306,200649.5,-70449.625,294478.03125,363236.40016078594
1757344341.526131,200640.5,-70446.0,294468.5625,363223.0491819956
1757344341.5631306,200638.25,-70441.375,294461.625,363215.2850205973
1757344341.6011305,200643.0,-70438.5,294470.265625,363224.3563811602
1757344341.6391306,200653.0,-70437.875,294463.65625,363224.4010190309
1757344341.6761303,200630.75,-70458.875,294467.359375,363219.1854089119
1757344341.7141306,200646.0,-70437.0,294470.21875,363225.6846860817
1757344341.7511306,200642.75,-70452.25,294474.234375,363230.1025085441
1757344341.7891307,200647.75,-70439.875,294473.140625,363229.5777048301
1757344341.8271306,200649.25,-70441.125,294468.34375,363226.7598728049
1757344341.8641305,200647.0,-70432.5,294467.71875,363223.3377015842
1757344341.9021306,200645.0,-70444.25,294465.296875,363222.5480979181
1757344341.9401307,200653.5,-70445.625,294466.4375,363228.4349522102
1757344341.977131,200644.0,-70442.75,294470.6875,363226.0750005224
1757344342.0151303,200646.0,-70444.75,294463.59375,363221.8167493901
1757344342.0521307,200649.0,-70439.25,294467.28125,363225.3967832221
1757344342.0901306,200657.5,-70439.5,294468.015625,363230.73616177536
1757344342.128131,200644.75,-70439.625,294465.1875,363221.4243710209
1757344342.1651306,200644.5,-70445.375,294471.875,363227.8230052817
1757344342.2031305,200651.75,-70444.5,294469.484375,363229.72013092606
1757344342.240131,200645.25,-70446.25,294474.21875,363230.307098744
1757344342.2781303,200642.75,-70442.375,294462.0,363218.2687685232
1757344342.3161306,200639.25,-70454.75,294472.953125,363227.6153602359
1757344342.3531306,200650.25,-70435.25,294467.75,363225.6916266903
1757344342.3911307,200654.25,-70442.5,294459.6875,363222.7710536746
1757344342.4281306,200640.25,-70447.5,294474.78125,363228.2436272651
1757344342.4661305,200650.25,-70428.125,294466.75,363223.49933841097
1757344342.5041306,200645.75,-70441.875,294471.78125,363227.758712252
1757344342.5411303,200653.25,-70438.125,294466.765625,363227.1083588432
1757344342.5791306,200644.25,-70440.0,294462.15625,363218.7634490568
1757344342.6161306,200640.5,-70451.75,294467.015625,363222.9103586481
1757344342.6541307,200647.25,-70444.625,294462.234375,363221.3809745656
1757344342.6921306,200645.75,-70450.5,294465.5,363224.33926371526
1757344342.7291305,200637.0,-70446.25,294458.984375,363213.39923964674
1757344342.7671306,200645.25,-70441.375,294468.5625,363224.77608262014
1757344342.8041306,200641.25,-70452.25,294471.90625,363227.3864979536
1757344342.842131,200649.25,-70438.875,294463.171875,363222.1306962365
1757344342.8801303,200647.5,-70428.375,294468.453125,363223.4094152261
1757344342.9171307,200645.0,-70441.0,294470.015625,363225.7433170008
1757344342.9551306,200660.25,-70431.875,294470.171875,363232.5247966792
1757344342.9931307,200643.25,-70450.125,294467.53125,363224.53227108414
1757344343.0301306,200646.25,-70437.625,294466.953125,363223.2965235353
1757344343.0681305,200652.25,-70436.5,294470.21875,363229.0402665863
1757344343.105131,200636.25,-70460.5,294471.46875,363225.87019937707
1757344343.1431303,200653.75,-70441.625,294466.0625,363227.4932958091
1757344343.1811306,200645.5,-70435.875,294475.640625,363229.5859078247
1757344343.2181306,200648.0,-70450.375,294472.5625,363231.2834916027
1757344343.2561307,200649.0,-70439.0,294471.828125,363229.03446899663
1757344343.2931306,200634.75,-70453.5,294471.8125,363223.9624898771
1757344343.3311305,200640.5,-70443.75,294461.359375,363216.7731799915
1757344343.3691306,200653.25,-70431.125,294466.59375,363225.61162321095
1757344343.4061306,200652.0,-70434.75,294465.890625,363225.05399977154
1757344343.444131,200656.0,-70440.25,294468.96875,363230.82566427503
1757344343.4811306,200645.0,-70449.0,294464.859375,363223.1146729769
1757344343.5191307,200644.5,-70447.375,294474.8125,363230.592353605
1757344343.5571306,200646.75,-70449.875,294460.453125,363220.6789648112
1757344343.5941305,200642.5,-70454.875,294468.4375,363225.7740045536
1757344343.6321306,200651.75,-70432.75,294470.203125,363228.0242204664
1757344343.6691306,200657.25,-70435.5,294467.21875,363229.1763558826
1757344343.707131,200657.75,-70433.125,294480.375,363239.6577914762
1757344343.7451303,200649.0,-70448.875,294479.78125,363237.3972415471
1757344343.7821305,200650.0,-70437.5,294481.078125,363236.795052363
1757344343.8201306,200652.0,-70446.875,294486.078125,363243.771468568
1757344343.8571303,200656.75,-70438.75,294477.640625,363237.9793609028
1757344343.8951306,200645.75,-70441.0,294482.1875,363236.025510752
1757344343.9331305,200645.25,-70442.875,294479.328125,363233.79479170096
1757344343.9701307,200661.5,-70430.25,294478.78125,363239.8798367242
1757344344.0081306,200651.25,-70448.625,294484.421875,363242.3538328179
1757344344.046131,200627.5,-70480.875,294489.796875,363239.8490811469
1757344344.0841303,200652.0,-70441.25,294477.34375,363235.5995598699
