Bx_mean,Bx_std,Bx_min,Bx_max,Bx_range,Bx_median,Bx_q25,Bx_q75,Bx_cv,Bx_slope,By_mean,By_std,By_min,By_max,By_range,By_median,By_q25,By_q75,By_cv,By_slope,Bz_mean,Bz_std,Bz_min,Bz_max,Bz_range,Bz_median,Bz_q25,Bz_q75,Bz_cv,Bz_slope,Bnorm_mean,Bnorm_std,Bnorm_min,Bnorm_max,Bnorm_range,Bnorm_median,Bnorm_q25,Bnorm_q75,Bnorm_cv,Bnorm_slope,Bx_By_corr,Bx_Bz_corr,By_Bz_corr,place,session,file_name,relative_path,point_id,x,y,altitude_m,window_start,window_end,group_id
208871.395,26.18249328359418,208826.25,208935.0,108.75,208872.75,208851.375,208891.5625,0.00012535222108127434,-0.6062676267628367,-70080.7825,14.079069867478225,-70116.375,-70051.125,65.25,-70077.875,-70090.15625,-70070.0625,0.000200897726384237,0.10849384938473544,279787.2846875,100.38301766071254,279678.40625,279968.109375,289.703125,279750.7265625,279695.21484375,279892.5234375,0.000358783344185324,-3.32446463396508,356117.26040947816,90.38189958921076,356006.057608719,356290.78022061125,284.7226118922699,356091.6989083943,356038.8689791567,356207.3770440755,0.0002537981435813753,-2.988881339681199,0.0885354368527782,0.6979376622091261,-0.05049775697440304,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,0,100,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208868.4475,20.317532826391965,208828.75,208910.25,81.5,208869.875,208848.9375,208886.25,9.727430384808105e-05,-0.016989198920582958,-70121.74125,46.84703797313188,-70204.375,-70057.25,147.125,-70103.1875,-70170.625,-70081.78125,0.0006680814985200026,-1.530443294329531,279740.30109375,29.098862683219654,279675.390625,279790.609375,115.21875,279741.3671875,279722.90234375,279757.796875,0.00010402098864356225,0.4449689656468814,356086.6825336763,31.055895452875646,356009.74006890005,356147.9405522944,138.20048339437926,356087.9729280908,356068.39012445416,356106.0331651834,8.72144255210628e-05,0.6410213425739998,0.16913884738848534,0.09187363066622842,-0.47864385552868477,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,100,200,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208853.655,18.753914742842845,208817.75,208895.75,78.0,208856.0,208837.625,208870.0,8.979452498852771e-05,0.06103810381097141,-70147.16625,16.162458986565877,-70183.75,-70115.5,68.25,-70145.0,-70156.65625,-70135.75,0.00023040786749622803,0.4690286528653054,279796.366875,81.34616439371197,279689.609375,279961.84375,272.234375,279800.1875,279715.6640625,279854.890625,0.00029073345484165506,2.7021874062393736,356127.06185226346,63.80620433166701,356040.0381022828,356270.48445978784,230.44635750504676,356122.7492485749,356068.09054547636,356175.1163604184,0.00017916696361069162,2.066428320664101,0.20675486044627964,0.13171647488979674,0.7746412142742258,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,200,300,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208907.455,26.930451484735958,208853.25,208961.5,108.25,208905.25,208888.375,208932.0625,0.0001289109164856561,0.45316831683197645,-70151.15125,31.843135166941416,-70222.25,-70108.25,114.0,-70138.5625,-70176.53125,-70125.9375,0.00045392177604414467,-0.9825690069004939,279999.6671875,79.41250457672194,279902.0,280186.8125,284.8125,279972.453125,279931.8671875,280053.16015625,0.0002836164248850477,2.1226312631255673,356319.1338420577,72.6452461325983,356218.17969640286,356479.3338830775,261.15418667462654,356285.71586883557,356259.6397386845,356380.39866898296,0.0002038769160367321,2.127227814691266,-0.2703978352082732,0.15776408098648267,-0.9326084908728286,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,300,400,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208928.5875,89.19165873912405,208693.0,209059.5,366.5,208956.625,208880.4375,208994.5625,0.00042690021411801316,1.5183843384340543,-70119.5975,72.9366110818916,-70247.5,-69940.375,307.125,-70117.6875,-70150.9375,-70087.375,0.0010401744117526002,0.2764041404142325,280061.00890625,124.8179501581999,279907.609375,280255.015625,347.40625,280032.640625,279931.49609375,280198.90234375,0.0004456812843946532,-4.1428548792380635,356373.5461120427,74.77440357745115,356234.1522576514,356499.1434079989,264.99115034751594,356375.69601291814,356308.5168653035,356443.2908024694,0.00020982029781173019,-2.4205940521044105,0.3720517874873612,-0.6440062678061499,-0.06828119477817357,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,400,500,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208868.2925,26.556972657235836,208798.75,208931.5,132.75,208870.5,208852.875,208890.25,0.0001271469802303087,-0.3522637263729915,-70084.3,22.13865283830409,-70135.375,-70035.375,100.0,-70084.5,-70097.40625,-70066.84375,0.00031588605205879334,0.3025817581759128,279929.07921875,41.52617342951732,279876.03125,280005.25,129.21875,279912.1875,279892.0625,279966.9921875,0.00014834533641668138,-0.48022230347984035,356227.5446673653,37.89259983426679,356149.9057264867,356298.95131911704,149.04559263034025,356222.58679291815,356201.47718690376,356258.0644512984,0.00010637189740520984,-0.6434483020464545,-0.42313791121888145,0.048043752948508635,-0.011732872113124506,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,500,600,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208860.165,92.64051039726986,208675.5,209014.75,339.25,208849.0,208783.0,208946.6875,0.00044355279714190527,1.9722172217213856,-70101.2025,67.31070956745849,-70164.875,-69921.375,243.5,-70128.25,-70143.5,-70090.375,0.0009601933656909593,0.5365586558658849,279811.87609375,94.9412284058009,279629.359375,279927.078125,297.71875,279808.828125,279745.171875,279903.65625,0.0003393037841395666,-3.1313380400550845,356134.03541042516,62.334449505772426,356008.383218321,356229.0206547819,220.63743646087823,356153.0900805219,356074.5283217322,356186.8547560528,0.00017503086845921747,-1.4090127185465107,-0.04361733629959909,-0.6437245261598882,-0.17691948379342792,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,600,700,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208908.3,194.59185141306313,208540.5,209285.25,744.75,208875.625,208804.3125,209030.0625,0.000931470178126303,-3.20761176117606,-70098.6725,165.85608167789763,-70527.75,-69917.375,610.375,-70035.0625,-70110.1875,-69998.3125,0.0023660374121620867,1.3853600360037486,279611.474375,71.78835351945172,279470.28125,279704.796875,234.515625,279629.703125,279553.1796875,279678.2265625,0.0002567432315856001,1.193512601260557,356004.4085067856,96.62781616700268,355787.5995603587,356167.4913048699,379.891744511202,356013.87689936464,355975.98396831384,356058.4688481081,0.00027142308875414083,-1.2177986832397485,-0.1727725090294176,-0.46950650003552225,0.866551862640889,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,700,800,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
208889.0725,71.23627189206918,208763.75,209039.75,276.0,208886.375,208829.625,208953.375,0.0003410244061094636,-0.17960546054663545,-70098.73375,102.23669626320901,-70342.375,-69950.375,392.0,-70077.6875,-70124.4375,-70024.6875,0.0014584670905443996,-2.5492161716171124,279666.8415625,29.05859654429668,279607.421875,279716.71875,109.296875,279672.0546875,279645.06640625,279684.90625,0.00010390433267650238,-0.820530865586696,356036.5600905635,58.94119405993407,355935.0583281818,356140.1757698959,205.117441714101,356033.4436576726,355988.0089554988,356091.6413489367,0.00016554815057459674,-0.247634283164331,-0.5073881020821245,0.2259885933562002,0.5274657070540321,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,800,900,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
209031.2525,207.1206996194697,208809.25,209525.5,716.25,208957.125,208870.0,209128.5625,0.000990859965399048,4.286347134712903,-70136.28625,139.77914160006858,-70372.5,-69852.25,520.25,-70156.8125,-70238.5,-70040.6875,0.0019929646845261726,0.5876425142517648,279475.246875,129.86128617800682,279318.921875,279663.34375,344.421875,279401.84375,279356.63671875,279631.35546875,0.0004646611377217584,-4.1305715571561725,355977.0216909835,124.40831578290461,355753.2159121766,356175.72890902223,422.51299684564583,355984.37890805956,355869.9436175088,356090.0080824235,0.00034948411892411687,-0.8403211290314548,-0.09103467767168993,-0.5374141100168093,-0.39896973040515216,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1638_ah1.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv,1,0,0,1.0,900,1000,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1638_ah1.csv
206152.395,38.48806354382532,206069.25,206244.5,175.25,206150.625,206128.375,206175.125,0.00018669714481767393,0.70285628562769,-71067.49375,37.29884760301083,-71175.0,-71003.0,172.0,-71061.125,-71082.90625,-71045.90625,0.0005248369632144348,0.8105153015303163,282829.54046875,82.64532425185497,282705.671875,282956.40625,250.734375,282830.6953125,282743.1953125,282907.22265625,0.00029220895425167406,-2.5123643301846528,357130.16333247605,60.61788314574241,357022.465593499,357229.771097877,207.30550437798956,357136.7360401132,357074.6243392482,357185.72017514834,0.00016973610568231175,-1.7453405206340245,0.7289677899663027,-0.4477112925393729,-0.3955235407550593,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,0,100,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206144.1825,19.65063724645894,206108.25,206192.5,84.25,206142.375,206129.5625,206160.0,9.53247237353348e-05,-0.12426492649395467,-71045.6775,16.90848417573888,-71078.875,-71006.75,72.125,-71045.1875,-71060.34375,-71032.09375,0.00023799455182532222,0.35964896489700643,282668.0253125,80.02140440937161,282458.625,282776.40625,317.78125,282672.1015625,282623.1796875,282734.7578125,0.0002830932303747655,-2.6028300330028036,356993.1752809196,68.25129559940639,356809.67491674825,357088.86345595494,279.1885392066906,357012.08611888497,356952.1173204449,357054.1483062386,0.00019118375455132758,-2.2042420936537845,0.09948214651918853,0.1993348946969963,-0.5269208951941868,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,100,200,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206194.8075,91.83841936501655,206095.75,206461.5,365.75,206158.125,206136.5,206203.0625,0.0004453963728694601,1.4212106210627906,-71064.105,65.11532775845414,-71250.625,-70962.125,288.5,-71047.0,-71068.34375,-71032.65625,0.0009162899857593949,-1.1601035103509008,282592.89515625,155.33390968218808,282370.421875,282788.6875,418.265625,282664.2265625,282427.52734375,282744.0703125,0.0005496737969873643,4.752786059856292,356966.6119266101,157.174344301216,356749.71860337624,357205.0239383072,455.30533493094845,356999.31166287797,356800.11794153583,357099.60299800604,0.0004403054488847544,4.814838314217775,-0.09453460674538151,0.4281434624601545,-0.2762905333677628,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,200,300,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206162.305,17.38688478785842,206124.0,206198.0,74.0,206162.875,206147.125,206174.375,8.433590606128711e-05,0.25771977197625723,-71090.555,14.301136759931449,-71117.25,-71061.625,55.625,-71092.125,-71100.78125,-71079.375,0.0002011678873505974,-0.32292079207904684,282712.12890625,106.62974423426053,282570.4375,282899.4375,329.0,282679.8203125,282615.63671875,282823.65625,0.00037716720767088117,2.9799545267027665,357047.4963407786,89.66023485475738,356922.0637174487,357209.47798685933,287.41426941065583,357027.1484030792,356966.988347257,357139.09848559846,0.0002511157080602591,2.572700373296095,-0.12357189940274003,0.35163454405878314,-0.41227215545844886,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,300,400,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206161.77,20.123629258795603,206091.75,206196.75,105.0,206161.875,206149.25,206177.6875,9.761086771226113e-05,-0.1863996399646616,-71089.67375,23.23177910299605,-71136.125,-71039.25,96.875,-71086.4375,-71109.90625,-71075.8125,0.0003267954103249215,0.07731848184846121,283024.96375,62.34913044173334,282909.4375,283126.59375,217.15625,283019.1171875,282969.125,283083.40625,0.00022029551604079426,1.2266331008094649,357294.76458772836,56.95179667183237,357186.50090456323,357395.9694698664,209.468565303192,357290.6061211069,357242.2472093834,357346.7177011269,0.00015939723252745482,0.8486983980133634,-0.3817172776038247,0.2556945629437542,-0.6873746364009278,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,400,500,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206138.7075,22.712827745393554,206086.25,206179.0,92.75,206138.125,206124.0,206156.75,0.00011018225553487354,0.454612961296265,-71113.4875,29.819869041403663,-71158.75,-71038.5,120.25,-71114.8125,-71138.1875,-71092.03125,0.0004193278953082376,-0.9498019801979495,282945.46375,48.396069865240094,282863.609375,283029.03125,165.421875,282948.2421875,282902.50390625,282986.2578125,0.00017104380902180163,-1.2153834758469941,357223.2256937157,32.1873681753583,357165.3313714149,357287.319181309,121.98780989414081,357221.10716363497,357194.81924110034,357245.12368065736,9.010435453308361e-05,-0.511259082803376,-0.43772344633070526,-0.4552455598374976,0.5516676841624573,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,500,600,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206167.45,20.807195725022485,206121.0,206214.5,93.5,206170.375,206152.0,206181.0,0.00010092376718547221,0.3584098409839566,-71118.9375,19.717372518680172,-71146.125,-71069.125,77.0,-71124.9375,-71134.71875,-71103.9375,0.00027724503784495055,0.5587203720371877,282841.63625,45.99629432143052,282745.46875,282900.765625,155.296875,282857.0,282808.421875,282874.63671875,0.00016262207690233768,-1.446538028802407,357158.66708326543,36.82491198489752,357067.1924072197,357206.2943686888,139.1019614690449,357170.7760551418,357140.59116518666,357186.6737121098,0.00010310518931439628,-1.0498938841516934,0.4992167853154145,-0.39318766885813006,-0.9117080073978001,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,600,700,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206175.03,17.497376426715572,206139.0,206212.0,73.0,206175.5,206161.25,206189.0625,8.486661273538107e-05,0.03990399039874469,-71142.0025,44.219154703327014,-71203.75,-71068.875,134.875,-71147.8125,-71183.4375,-71093.84375,0.0006215618502350565,-1.4572637263722477,282884.20578125,62.494309007591184,282758.828125,282984.875,226.046875,282885.2578125,282837.109375,282935.734375,0.00022091833948452062,0.650468703119168,357201.3497063919,57.463133880139765,357080.6394300559,357301.1875072159,220.54807715996867,357201.71570730396,357152.9318920109,357252.17977637425,0.00016087042763800478,0.8283956413397846,-0.08089401871589762,0.28905399264403037,-0.4241730338220432,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,700,800,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206140.7175,18.60533942993329,206106.5,206179.75,73.25,206140.875,206125.875,206154.5625,9.025552862904579e-05,-0.23530903090347824,-71150.7875,33.45107755583465,-71191.5,-71063.75,127.75,-71164.25,-71172.1875,-71141.3125,0.0004701434619516284,0.9517296729672038,282743.9703125,33.24361724327153,282686.484375,282807.71875,121.234375,282748.6015625,282714.6171875,282766.3359375,0.00011757498208194978,-0.42641632913250055,357072.23921854584,35.467768747616184,356996.5800784419,357144.0375742676,147.45749582571443,357075.8017672829,357046.36788576155,357101.5473262764,9.932939291286702e-05,-0.6631030458413247,-0.21560718442102203,0.4423022699078582,-0.35422948617108757,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,800,900,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
206171.9275,30.779073777093387,206110.25,206230.5,120.25,206170.625,206144.25,206195.8125,0.0001492883834880643,0.808501350134212,-71039.55875,19.799862378041773,-71074.125,-70997.25,76.875,-71043.0625,-71055.84375,-71023.4375,0.00027871601015598617,-0.21987623762357608,282846.77625,79.40831353854374,282702.28125,282956.140625,253.859375,282848.5078125,282762.76953125,282933.21484375,0.0002807467512670431,2.6633612736269976,357149.52438241825,79.35030057988722,357020.5696643012,357261.0574565231,240.4877922219457,357144.6117942819,357068.52686096774,357232.7629541663,0.00022217669396900217,2.619710009589957,-0.27426640378730016,0.801048786307602,-0.36721591208559795,Scotiabank road data,0830_scoti bank road_16_30_1m,0830_1642_ah2.csv,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv,2,1,0,1.0,900,1000,Scotiabank road data\0830_scoti bank road_16_30_1m\0830_1642_ah2.csv
